mnemonic,dataset,category,description,frequency,last_updated
FPF-ALLQHF_PARTY5_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_PARTY6_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_PARTY7_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_PARTY8_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_PARTY9_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_PORTFOLIOLIQUIDITYGT1LE7_PERCENT,fpf,,,,2026-04-09
FPF-ALLQHF_PORTFOLIOLIQUIDITYGT1LE7_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_PORTFOLIOLIQUIDITYGT7LE90_PERCENT,fpf,,,,2026-04-09
FPF-ALLQHF_PORTFOLIOLIQUIDITYGT7LE90_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_PORTFOLIOLIQUIDITYGT90_PERCENT,fpf,,,,2026-04-09
FPF-ALLQHF_PORTFOLIOLIQUIDITYGT90_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_PORTFOLIOLIQUIDITYLE1_PERCENT,fpf,,,,2026-04-09
FPF-ALLQHF_PORTFOLIOLIQUIDITYLE1_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_PORTFOLIOLIQUIDITYLE7_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_RFDOWN75BPS_P5,fpf,,,,2026-04-09
FPF-ALLQHF_RFDOWN75BPS_P50,fpf,,,,2026-04-09
FPF-ALLQHF_RFUP75BPS_P5,fpf,,,,2026-04-09
FPF-ALLQHF_RFUP75BPS_P50,fpf,,,,2026-04-09
FPF-ALLQHF_RNT_COUNT,fpf,,,,2026-04-09
FPF-ALLQHF_RT_COUNT,fpf,,,,2026-04-09
FPF-ALLQHF_RV_OPENPOSITIONS_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_SIDEPOCKET_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_USGSIB_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_YES_COUNT,fpf,,,,2026-04-09
FPF-ASSETCLASS_CREDIT_GNE_CHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_CREDIT_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_CREDIT_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_CREDIT_LGNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_CREDIT_N10_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_CREDIT_SGNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_EQUITIES_GNE_CHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_EQUITIES_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_EQUITIES_LGNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_EQUITIES_N10_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_EQUITIES_SGNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_EQUITY_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_FX_GNE_CHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_FX_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_FX_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_FX_LGNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_FX_N10_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_FX_SGNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_IRD_GNE_CHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_IRD_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_IRD_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_IRD_LGNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_IRD_N10_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_IRD_SGNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_LEQYDERIV_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_LEQYSEC_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_LTREASURY_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_OTHER_GNE_CHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_OTHER_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_OTHER_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_OTHER_LGNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_OTHER_N10_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_OTHER_SGNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_REPO_REPO_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_SEQYDERIV_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_SEQYSEC_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_SOVEREIGN_GNE_CHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_SOVEREIGN_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_SOVEREIGN_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_SOVEREIGN_LGNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_SOVEREIGN_N10_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_SOVEREIGN_SGNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_STREASURY_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_USGOV_GNE_CHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_USGOV_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-ASSETCLASS_USGOV_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_USGOV_LGNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_USGOV_N10_GNE_SUM,fpf,,,,2026-04-09
FPF-ASSETCLASS_USGOV_SGNE_SUM,fpf,,,,2026-04-09
FPF-BORROW_OTHERSECURED_PCTCHANGE,fpf,,,,2026-04-09
FPF-BORROW_OTHERSECURED_SUM,fpf,,,,2026-04-09
FPF-BORROW_PRIMEBROKER_PCTCHANGE,fpf,,,,2026-04-09
FPF-BORROW_PRIMEBROKER_SUM,fpf,,,,2026-04-09
FPF-BORROW_REPO_GAVN10_PERCENT,fpf,,,,2026-04-09
FPF-BORROW_REPO_GAVN10_SUM,fpf,,,,2026-04-09
FPF-BORROW_REPO_GAVN11TO50_PERCENT,fpf,,,,2026-04-09
FPF-BORROW_REPO_GAVN51_PERCENT,fpf,,,,2026-04-09
FPF-BORROW_REPO_PCTCHANGE,fpf,,,,2026-04-09
FPF-BORROW_REPO_SUM,fpf,,,,2026-04-09
FPF-COLLATERALTYPE_CASH_COLLATERAL_SUM,fpf,,,,2026-04-09
FPF-COLLATERALTYPE_OTHER_COLLATERAL_SUM,fpf,,,,2026-04-09
FPF-COLLATERALTYPE_SECURITIES_COLLATERAL_SUM,fpf,,,,2026-04-09
FPF-GAVN10_OCRATEALL_PERCENT,fpf,,,,2026-04-09
FPF-GAVN10_OCRATEEXOTHER_PERCENT,fpf,,,,2026-04-09
FPF-GAVN11TO50_OCRATEALL_PERCENT,fpf,,,,2026-04-09
FPF-GAVN11TO50_OCRATEEXOTHER_PERCENT,fpf,,,,2026-04-09
FPF-GAVN51_OCRATEALL_PERCENT,fpf,,,,2026-04-09
FPF-GAVN51_OCRATEEXOTHER_PERCENT,fpf,,,,2026-04-09
FPF-INVESTOMUNI_NAVWMEAN,fpf,,,,2026-04-09
FPF-INVESTORFI_NAVWMEAN,fpf,,,,2026-04-09
FPF-INVESTORNONPROF_NAVWMEAN,fpf,,,,2026-04-09
FPF-INVESTORNONUS_NAVWMEAN,fpf,,,,2026-04-09
FPF-INVESTOROTHER_NAVWMEAN,fpf,,,,2026-04-09
FPF-INVESTORPENSION_NAVWMEAN,fpf,,,,2026-04-09
FPF-INVESTORPRIVFUND_NAVWMEAN,fpf,,,,2026-04-09
FPF-INVESTORUSINDV_NAVWMEAN,fpf,,,,2026-04-09
FPF-OCRATEALL_PERCENT,fpf,,,,2026-04-09
FPF-OCRATECASHSEC_PERCENT,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_BORROWING_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_BORROWING_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_CASHRATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_CASHRATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_COUNT,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_GAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_GAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_GNE_CHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_GNE_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_GROSSRETURN_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_GROSSRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_LEVERAGERATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_LEVERAGERATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_NAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_NAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_NETRETURN_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_CREDIT_NETRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_BORROWING_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_BORROWING_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_CASHRATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_CASHRATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_COUNT,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_GAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_GAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_GNE_CHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_GNE_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_GROSSRETURN_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_GROSSRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_LEVERAGERATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_LEVERAGERATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_NAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_NAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_EQUITY_NETRETURN_GAVWMEAN,fpf,,,,2026-04-09
