mnemonic,dataset,category,description,frequency,last_updated
FPF-STRATEGY_RV_LEVERAGERATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_RV_LEVERAGERATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_RV_NAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_RV_NAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_RV_NETRETURN_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_RV_NETRETURN_NAVWMEAN,fpf,,,,2026-04-09
SCOOS-NET_BSCAPACITY,scoos,,,,2026-04-09
SCOOS-NET_COLLATTERMS,scoos,,,,2026-04-09
SCOOS-NET_CPSTRENGTH,scoos,,,,2026-04-09
SCOOS-NET_HF_CREDITAVAILABILITY,scoos,,,,2026-04-09
SCOOS-NET_HF_CREDITPRICE,scoos,,,,2026-04-09
SCOOS-NET_HF_CREDITTERMS,scoos,,,,2026-04-09
SCOOS-NET_HF_LEVERAGEUSE,scoos,,,,2026-04-09
SCOOS-NET_HF_MOSTFAVORED,scoos,,,,2026-04-09
SCOOS-NET_HF_NEGOTIATIONEFFORTS,scoos,,,,2026-04-09
SCOOS-NET_INTERNALCHARGES,scoos,,,,2026-04-09
SCOOS-NET_LENDERCOMPET,scoos,,,,2026-04-09
SCOOS-NET_LENDERWILLINGNESS,scoos,,,,2026-04-09
SCOOS-NET_LIQCONDITIONS,scoos,,,,2026-04-09
TFF-AI_TREAS_LONG_DV01,tff,,,,2026-04-09
TFF-AI_TREAS_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-AI_TREAS_LONG_POSITION,tff,,,,2026-04-09
TFF-AI_TREAS_SHORT_DV01,tff,,,,2026-04-09
TFF-AI_TREAS_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-AI_TREAS_SHORT_POSITION,tff,,,,2026-04-09
TFF-DI_TREAS_LONG_DV01,tff,,,,2026-04-09
TFF-DI_TREAS_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-DI_TREAS_LONG_POSITION,tff,,,,2026-04-09
TFF-DI_TREAS_SHORT_DV01,tff,,,,2026-04-09
TFF-DI_TREAS_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-DI_TREAS_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_AD_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_AD_NET_POSITION,tff,,,,2026-04-09
TFF-LF_AD_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_BITCOIN_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_BITCOIN_NET_POSITION,tff,,,,2026-04-09
TFF-LF_BITCOIN_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_BP_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_BP_NET_POSITION,tff,,,,2026-04-09
TFF-LF_BP_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_BR_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_BR_NET_POSITION,tff,,,,2026-04-09
TFF-LF_BR_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_CD_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_CD_NET_POSITION,tff,,,,2026-04-09
TFF-LF_CD_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_DJ_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_DJ_NET_POSITION,tff,,,,2026-04-09
TFF-LF_DJ_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_DX_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_DX_NET_POSITION,tff,,,,2026-04-09
TFF-LF_DX_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_EC_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_EC_NET_POSITION,tff,,,,2026-04-09
TFF-LF_EC_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_ED_LONG_DV01,tff,,,,2026-04-09
TFF-LF_ED_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-LF_ED_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_ED_NET_DV01,tff,,,,2026-04-09
TFF-LF_ED_NET_POS10YREQV,tff,,,,2026-04-09
TFF-LF_ED_NET_POSITION,tff,,,,2026-04-09
TFF-LF_ED_SHORT_DV01,tff,,,,2026-04-09
TFF-LF_ED_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-LF_ED_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_ETHER_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_ETHER_NET_POSITION,tff,,,,2026-04-09
TFF-LF_ETHER_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_FF_LONG_DV01,tff,,,,2026-04-09
TFF-LF_FF_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-LF_FF_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_FF_NET_DV01,tff,,,,2026-04-09
TFF-LF_FF_NET_POS10YREQV,tff,,,,2026-04-09
TFF-LF_FF_NET_POSITION,tff,,,,2026-04-09
TFF-LF_FF_SHORT_DV01,tff,,,,2026-04-09
TFF-LF_FF_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-LF_FF_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_FV_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-LF_FV_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_FV_NET_POS10YREQV,tff,,,,2026-04-09
TFF-LF_FV_NET_POSITION,tff,,,,2026-04-09
TFF-LF_FV_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-LF_FV_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_JY_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_JY_NET_POSITION,tff,,,,2026-04-09
TFF-LF_JY_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_ND_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_ND_NET_POSITION,tff,,,,2026-04-09
TFF-LF_ND_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_NV_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_NV_NET_POSITION,tff,,,,2026-04-09
TFF-LF_NV_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_NX_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_NX_NET_POSITION,tff,,,,2026-04-09
TFF-LF_NX_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_PE_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_PE_NET_POSITION,tff,,,,2026-04-09
TFF-LF_PE_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_RA_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_RA_NET_POSITION,tff,,,,2026-04-09
TFF-LF_RA_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_SER_LONG_DV01,tff,,,,2026-04-09
TFF-LF_SER_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-LF_SER_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_SER_NET_DV01,tff,,,,2026-04-09
TFF-LF_SER_NET_POS10YREQV,tff,,,,2026-04-09
TFF-LF_SER_NET_POSITION,tff,,,,2026-04-09
TFF-LF_SER_SHORT_DV01,tff,,,,2026-04-09
TFF-LF_SER_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-LF_SER_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_SFR_LONG_DV01,tff,,,,2026-04-09
TFF-LF_SFR_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-LF_SFR_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_SFR_NET_DV01,tff,,,,2026-04-09
TFF-LF_SFR_NET_POS10YREQV,tff,,,,2026-04-09
TFF-LF_SFR_NET_POSITION,tff,,,,2026-04-09
TFF-LF_SFR_SHORT_DV01,tff,,,,2026-04-09
TFF-LF_SFR_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-LF_SFR_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_SF_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_SF_NET_POSITION,tff,,,,2026-04-09
TFF-LF_SF_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_SP_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_SP_NET_POSITION,tff,,,,2026-04-09
TFF-LF_SP_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_TREAS_LONG_DV01,tff,,,,2026-04-09
TFF-LF_TREAS_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-LF_TREAS_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_TREAS_NET_DV01,tff,,,,2026-04-09
TFF-LF_TREAS_NET_POS10YREQV,tff,,,,2026-04-09
TFF-LF_TREAS_NET_POSITION,tff,,,,2026-04-09
TFF-LF_TREAS_SHORT_DV01,tff,,,,2026-04-09
TFF-LF_TREAS_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-LF_TREAS_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_TU_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-LF_TU_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_TU_NET_POS10YREQV,tff,,,,2026-04-09
TFF-LF_TU_NET_POSITION,tff,,,,2026-04-09
TFF-LF_TU_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-LF_TU_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_TY_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-LF_TY_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_TY_NET_POS10YREQV,tff,,,,2026-04-09
TFF-LF_TY_NET_POSITION,tff,,,,2026-04-09
TFF-LF_TY_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-LF_TY_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_US_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-LF_US_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_US_NET_POS10YREQV,tff,,,,2026-04-09
TFF-LF_US_NET_POSITION,tff,,,,2026-04-09
TFF-LF_US_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-LF_US_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_UXY_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-LF_UXY_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_UXY_NET_POS10YREQV,tff,,,,2026-04-09
TFF-LF_UXY_NET_POSITION,tff,,,,2026-04-09
TFF-LF_UXY_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-LF_UXY_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_VIX_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_VIX_NET_POSITION,tff,,,,2026-04-09
TFF-LF_VIX_SHORT_POSITION,tff,,,,2026-04-09
TFF-LF_WN_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-LF_WN_LONG_POSITION,tff,,,,2026-04-09
TFF-LF_WN_NET_POS10YREQV,tff,,,,2026-04-09
TFF-LF_WN_NET_POSITION,tff,,,,2026-04-09
TFF-LF_WN_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-LF_WN_SHORT_POSITION,tff,,,,2026-04-09
TFF-OR_TREAS_LONG_DV01,tff,,,,2026-04-09
TFF-OR_TREAS_LONG_POS10YREQV,tff,,,,2026-04-09
TFF-OR_TREAS_LONG_POSITION,tff,,,,2026-04-09
TFF-OR_TREAS_SHORT_DV01,tff,,,,2026-04-09
TFF-OR_TREAS_SHORT_POS10YREQV,tff,,,,2026-04-09
TFF-OR_TREAS_SHORT_POSITION,tff,,,,2026-04-09
